loan_id,customer_id,product_type,origination_date,principal_amount,interest_rate,term_months,risk_grade,current_balance,delinquency_bucket,status,months_on_book
1500,1169,Mortgage,2026-02-21,510020.97,0.0545,240.0,A,523103.62,Current,Active,5
1501,1169,Auto Loan,2023-04-19,30843.04,0.0852,48.0,C,5588.94,Current,Active,39
1502,1170,Auto Loan,2022-10-18,40417.74,0.1054,72.0,C,13878.03,Current,Active,45
1503,1172,Credit Card,2022-07-25,4183.0,0.2397,,C,1712.32,Current,Active,48
1504,1172,Credit Card,2026-01-19,4244.31,0.2302,,B,2386.96,Current,Active,6
1505,1173,Credit Card,2025-01-30,17658.82,0.2227,,A,2150.46,30-59 DPD,Active,18
1506,1173,Personal Loan,2023-10-17,19674.87,0.1167,24.0,C,0.0,Current,Paid Off,33
1507,1173,Credit Card,2025-04-03,1620.59,0.2492,,C,191.76,Current,Active,15
1508,1174,Personal Loan,2025-01-13,7162.72,0.0989,48.0,B,4294.44,Current,Active,18
1509,1175,Auto Loan,2025-06-30,24447.06,0.1038,36.0,B,14415.82,30-59 DPD,Active,13
1510,1175,Credit Card,2026-05-15,3629.83,0.2225,,A,2144.27,Current,Active,2
1511,1176,Credit Card,2022-07-31,14589.01,0.1965,,B,10752.68,Current,Active,48
1512,1177,Personal Loan,2024-10-01,11825.58,0.1732,24.0,A,1340.84,Current,Active,21
1513,1178,Credit Card,2025-11-04,4200.57,0.1886,,C,1187.29,Current,Active,8
1514,1181,Credit Card,2025-12-24,12514.01,0.1756,,C,5129.43,90+ DPD,Charged Off,7
1515,1181,Personal Loan,2022-08-05,8192.3,0.1695,48.0,E,3881.16,90+ DPD,Charged Off,47
1516,1182,Personal Loan,2023-12-11,17962.99,0.1048,36.0,B,2406.53,Current,Active,31
1517,1185,Personal Loan,2025-09-21,13532.98,0.1386,48.0,B,10359.14,Current,Active,10
1518,1186,Auto Loan,2025-07-21,42871.39,0.0623,36.0,B,29219.92,Current,Active,12
1519,1187,Mortgage,2024-06-30,497991.55,0.0636,240.0,B,433241.21,Current,Active,25
1520,1190,Auto Loan,2024-01-21,13077.32,0.1081,72.0,A,7372.57,Current,Active,30
1521,1191,Personal Loan,2023-06-08,23228.81,0.1269,24.0,B,0.0,Current,Paid Off,37
1522,1192,Mortgage,2023-07-23,620985.62,0.0538,180.0,C,518391.09,30-59 DPD,Active,36
1523,1192,Auto Loan,2025-12-04,14797.28,0.0955,72.0,D,13544.97,Current,Active,7
1524,1193,Credit Card,2025-07-25,16018.19,0.1934,,B,2738.12,Current,Active,12
1525,1194,Personal Loan,2025-12-29,3939.02,0.1227,48.0,A,3480.01,Current,Active,7
1526,1194,Mortgage,2022-07-07,243100.66,0.0582,240.0,B,188216.17,Current,Active,48
1527,1195,Credit Card,2024-08-26,19200.16,0.2596,,E,16361.5,90+ DPD,Charged Off,23
1528,1198,Personal Loan,2022-05-20,3273.95,0.1109,36.0,B,0.0,Current,Paid Off,50
1529,1198,Auto Loan,2022-01-06,32012.01,0.1009,36.0,B,0.0,Current,Paid Off,54
1530,1199,Credit Card,2022-08-06,11301.31,0.237,,D,5804.46,Current,Active,47
1531,1199,Auto Loan,2025-10-07,35566.23,0.0698,36.0,D,24398.8,90+ DPD,Active,9
1532,1200,Auto Loan,2023-04-08,8534.55,0.0934,36.0,B,0.0,Current,Paid Off,39
1533,1200,Personal Loan,2025-09-01,9253.31,0.1602,24.0,B,5332.01,Current,Active,10
1534,1201,Personal Loan,2022-06-22,8218.21,0.0938,24.0,A,0.0,Current,Paid Off,49
1535,1202,Personal Loan,2022-05-20,19930.36,0.1672,24.0,A,0.0,Current,Paid Off,50
1536,1203,Personal Loan,2026-03-24,22985.05,0.1499,36.0,B,18843.88,Current,Active,4
1537,1206,Auto Loan,2022-12-07,39968.07,0.0946,72.0,D,34525.46,90+ DPD,Charged Off,43
1538,1206,Mortgage,2025-11-27,447892.64,0.0722,360.0,B,412055.66,Current,Active,8
1539,1206,Credit Card,2026-02-06,13573.46,0.1999,,A,6526.74,Current,Active,5
1540,1207,Credit Card,2022-03-17,11323.73,0.2532,,A,6476.87,Current,Active,52
1541,1208,Credit Card,2024-08-31,16808.79,0.1678,,C,12901.26,Current,Active,23
1542,1208,Credit Card,2022-07-10,12799.85,0.2261,,A,6508.9,30-59 DPD,Active,48
1543,1208,Personal Loan,2023-03-31,6866.53,0.1588,36.0,A,0.0,Current,Paid Off,40
1544,1209,Credit Card,2025-12-24,11225.72,0.2133,,B,7031.36,Current,Active,7
1545,1209,Personal Loan,2026-05-11,12985.27,0.1207,48.0,A,11613.36,Current,Active,2
1546,1212,Auto Loan,2023-04-03,10302.1,0.0514,36.0,C,0.0,Current,Paid Off,39
1547,1213,Mortgage,2022-08-06,262023.69,0.0624,360.0,C,215566.78,30-59 DPD,Active,47
1548,1214,Auto Loan,2022-02-25,43687.0,0.0615,60.0,A,4947.61,Current,Active,53
1549,1215,Auto Loan,2026-03-07,11983.77,0.0918,48.0,A,10693.72,Current,Active,4
1550,1216,Personal Loan,2023-05-10,15111.06,0.1116,36.0,C,0.0,Current,Paid Off,38
1551,1216,Credit Card,2022-12-18,4226.76,0.2267,,A,3190.25,Current,Active,43
1552,1220,Auto Loan,2024-10-07,34981.65,0.0939,72.0,D,31783.43,90+ DPD,Charged Off,21
1553,1220,Auto Loan,2023-09-10,19952.28,0.0873,36.0,E,13194.71,90+ DPD,Charged Off,34
1554,1221,Auto Loan,2023-08-04,33931.36,0.0968,60.0,A,13728.11,Current,Active,35
1555,1221,Credit Card,2025-08-27,12832.23,0.1884,,C,2310.61,Current,Active,11
1556,1221,Auto Loan,2023-05-20,9945.81,0.097,60.0,B,3392.51,Current,Active,38
1557,1222,Personal Loan,2024-09-16,24838.98,0.1329,24.0,A,2016.77,Current,Active,22
1558,1222,Mortgage,2023-11-15,215112.07,0.0541,180.0,D,180688.7,30-59 DPD,Active,32
1559,1223,Mortgage,2026-04-26,290719.38,0.0564,360.0,B,291774.47,Current,Active,3
1560,1224,Auto Loan,2024-08-12,24121.37,0.098,48.0,B,11408.34,Current,Active,23
1561,1225,Personal Loan,2023-06-03,8873.83,0.1529,48.0,D,2134.94,Current,Active,37
1562,1225,Personal Loan,2025-08-04,14664.61,0.1182,36.0,D,9975.56,30-59 DPD,Active,11
1563,1226,Personal Loan,2022-07-16,15270.57,0.1382,48.0,B,0.0,Current,Paid Off,48
1564,1226,Auto Loan,2023-05-30,43087.77,0.0502,48.0,D,8860.76,Current,Active,38
1565,1227,Auto Loan,2024-03-03,39505.02,0.0941,36.0,A,9071.58,Current,Active,28
1566,1227,Auto Loan,2023-01-13,19298.7,0.0932,60.0,C,5853.4,Current,Active,42
1567,1228,Auto Loan,2022-08-02,9372.5,0.0663,36.0,C,0.0,Current,Paid Off,47
1568,1228,Personal Loan,2022-05-07,3781.62,0.1483,48.0,A,0.0,Current,Paid Off,50
1569,1228,Credit Card,2026-05-05,12822.08,0.1996,,C,4606.26,Current,Active,2
1570,1229,Mortgage,2026-02-27,553688.15,0.0638,360.0,A,511238.13,Current,Active,5
1571,1231,Auto Loan,2022-04-16,25740.37,0.0836,48.0,A,0.0,Current,Paid Off,51
1572,1231,Auto Loan,2024-07-11,39886.09,0.0851,36.0,A,13287.93,Current,Active,24
1573,1232,Credit Card,2026-04-02,16114.83,0.1695,,C,4926.13,Current,Active,3
1574,1232,Personal Loan,2023-03-17,5703.2,0.0971,36.0,B,0.0,Current,Paid Off,40
1575,1233,Personal Loan,2024-03-08,6916.26,0.182,24.0,B,0.0,Current,Paid Off,28
1576,1234,Mortgage,2023-05-11,346315.51,0.0592,240.0,A,289003.6,Current,Active,38
1577,1235,Credit Card,2024-11-21,17460.79,0.2217,,C,11746.75,90+ DPD,Charged Off,20
1578,1235,Auto Loan,2022-01-14,31906.94,0.1057,60.0,B,3036.76,Current,Active,54
1579,1236,Personal Loan,2024-10-25,10593.22,0.1034,48.0,A,6081.95,60-89 DPD,Active,21
1580,1237,Personal Loan,2022-08-05,20246.07,0.1557,24.0,B,0.0,Current,Paid Off,47
1581,1238,Credit Card,2025-07-19,7917.04,0.216,,A,4530.2,Current,Active,12
1582,1238,Auto Loan,2026-01-24,17712.92,0.0693,72.0,C,15849.29,Current,Active,6
1583,1238,Credit Card,2025-07-01,17126.29,0.2101,,B,10175.12,Current,Active,12
1584,1240,Mortgage,2022-08-20,173362.56,0.0632,240.0,A,128042.8,90+ DPD,Active,47
1585,1240,Auto Loan,2023-10-25,42672.78,0.0518,36.0,D,34050.36,90+ DPD,Charged Off,33
1586,1241,Personal Loan,2022-12-24,6870.21,0.1324,48.0,A,718.91,Current,Active,43
1587,1243,Auto Loan,2025-07-21,30543.58,0.0691,48.0,A,21603.52,Current,Active,12
1588,1243,Credit Card,2023-04-19,3696.85,0.1704,,A,439.16,Current,Active,39
1589,1243,Personal Loan,2022-04-13,3240.18,0.1483,48.0,E,0.0,Current,Paid Off,51
1590,1245,Mortgage,2025-07-07,408177.93,0.0479,240.0,B,375663.73,Current,Active,12
1591,1245,Personal Loan,2024-09-21,21476.26,0.1124,48.0,C,10750.59,60-89 DPD,Active,22
1592,1246,Auto Loan,2022-03-23,12698.5,0.084,36.0,D,0.0,Current,Paid Off,52
1593,1247,Mortgage,2023-06-26,135275.74,0.0541,240.0,D,117169.24,Current,Active,37
1594,1248,Personal Loan,2024-12-12,11713.11,0.1854,48.0,B,6557.63,Current,Active,19
1595,1249,Credit Card,2025-06-07,19498.88,0.2588,,B,9621.71,Current,Active,13
1596,1251,Credit Card,2024-04-10,7544.29,0.1712,,B,3071.13,Current,Active,27
1597,1251,Auto Loan,2025-05-08,30717.84,0.1036,36.0,B,17111.08,Current,Active,14
1598,1251,Credit Card,2023-03-18,7714.3,0.1807,,C,1183.85,Current,Active,40
1599,1252,Auto Loan,2024-03-27,9676.99,0.0507,60.0,B,5208.56,30-59 DPD,Active,28
1600,1252,Credit Card,2022-07-23,2895.43,0.2294,,C,1471.41,30-59 DPD,Active,48
1601,1252,Personal Loan,2024-04-08,19574.88,0.0995,24.0,C,0.0,Current,Paid Off,27
1602,1253,Auto Loan,2023-06-14,17379.85,0.0702,36.0,C,0.0,Current,Paid Off,37
1603,1253,Auto Loan,2023-04-29,22848.48,0.092,72.0,C,10675.63,Current,Active,39
1604,1254,Auto Loan,2023-01-17,20558.4,0.1031,48.0,A,15830.53,90+ DPD,Charged Off,42
1605,1255,Auto Loan,2023-03-23,14098.88,0.1048,48.0,A,2208.02,Current,Active,40
1606,1255,Mortgage,2022-04-04,303359.49,0.0723,240.0,A,241943.56,Current,Active,51
1607,1256,Auto Loan,2025-09-22,16362.0,0.1008,48.0,D,11876.08,Current,Active,10
1608,1256,Personal Loan,2022-12-12,23198.25,0.1375,48.0,B,2309.68,Current,Active,43
1609,1257,Personal Loan,2024-04-21,4182.56,0.1419,24.0,A,0.0,Current,Paid Off,27
1610,1257,Personal Loan,2025-08-10,3207.9,0.1673,48.0,B,2347.21,Current,Active,11
1611,1257,Personal Loan,2023-06-23,18875.64,0.1141,36.0,B,0.0,Current,Paid Off,37
1612,1258,Auto Loan,2025-02-12,15363.33,0.1079,72.0,C,11198.27,Current,Active,17
1613,1259,Credit Card,2025-11-27,9417.95,0.2357,,C,5969.62,30-59 DPD,Active,8
1614,1261,Credit Card,2024-04-04,10840.84,0.221,,A,1679.09,Current,Active,27
1615,1262,Credit Card,2024-09-05,10222.86,0.2249,,C,6959.46,Current,Active,22
1616,1262,Personal Loan,2026-04-22,14360.39,0.0987,36.0,D,12550.83,Current,Active,3
1617,1263,Auto Loan,2023-02-14,20963.67,0.0524,48.0,A,2981.91,Current,Active,41
1618,1264,Personal Loan,2022-06-19,3961.44,0.1236,24.0,B,0.0,Current,Paid Off,49
1619,1264,Mortgage,2023-11-04,544359.23,0.0627,240.0,A,474524.33,Current,Active,32
1620,1264,Auto Loan,2024-12-26,23297.96,0.0903,60.0,B,16077.22,Current,Active,19
1621,1267,Mortgage,2024-01-24,477998.54,0.0512,240.0,C,435232.5,Current,Active,30
1622,1267,Credit Card,2022-03-09,15374.77,0.2261,,C,7389.0,Current,Active,52
1623,1268,Personal Loan,2023-12-07,15308.84,0.1111,24.0,E,0.0,Current,Paid Off,31
1624,1268,Mortgage,2023-02-22,121754.48,0.0541,240.0,C,97003.87,Current,Active,41
1625,1269,Auto Loan,2025-01-17,42834.23,0.0815,60.0,D,28640.04,Current,Active,18
1626,1269,Personal Loan,2025-10-03,6002.07,0.0901,24.0,B,3594.3,Current,Active,9
1627,1269,Credit Card,2023-05-01,13604.54,0.2289,,C,3857.55,Current,Active,38
1628,1270,Credit Card,2025-07-19,9606.78,0.1639,,D,7637.91,90+ DPD,Active,12
1629,1271,Mortgage,2023-03-04,165401.42,0.0619,240.0,B,130378.96,Current,Active,40
1630,1271,Auto Loan,2025-07-27,27616.34,0.097,60.0,C,22064.86,Current,Active,12
1631,1272,Mortgage,2022-05-03,293232.46,0.0483,360.0,A,234411.52,Current,Active,50
1632,1272,Auto Loan,2022-10-24,39084.54,0.052,72.0,A,13196.99,Current,Active,45
1633,1272,Credit Card,2023-10-19,11408.61,0.2271,,A,2611.72,Current,Active,33
1634,1274,Auto Loan,2023-07-05,30012.7,0.1058,36.0,B,0.0,Current,Paid Off,36
1635,1275,Personal Loan,2025-06-21,4489.58,0.1603,36.0,A,2691.15,Current,Active,13
1636,1276,Credit Card,2023-07-17,5478.62,0.2593,,B,617.87,Current,Active,36
1637,1276,Mortgage,2022-05-27,318607.04,0.0675,360.0,B,251714.26,Current,Active,50
1638,1277,Auto Loan,2022-06-25,33028.88,0.0969,60.0,E,5619.83,Current,Active,49
1639,1277,Credit Card,2022-05-16,11946.2,0.1787,,E,8535.5,90+ DPD,Charged Off,50
1640,1277,Auto Loan,2024-01-07,37652.47,0.1078,48.0,C,13228.45,Current,Active,30
1641,1278,Personal Loan,2025-01-31,20299.93,0.1239,24.0,A,5064.86,Current,Active,18
1642,1279,Personal Loan,2022-06-28,22826.02,0.112,48.0,D,0.0,Current,Paid Off,49
1643,1279,Credit Card,2022-07-21,3267.36,0.2598,,C,1695.64,Current,Active,48
1644,1281,Personal Loan,2022-01-06,16744.94,0.1413,48.0,C,0.0,Current,Paid Off,54
1645,1282,Credit Card,2025-09-23,5564.75,0.2177,,E,1645.48,60-89 DPD,Active,10
1646,1283,Personal Loan,2026-03-30,22463.66,0.1259,48.0,B,19916.39,Current,Active,4
1647,1283,Mortgage,2022-12-06,154568.08,0.0456,240.0,A,117633.65,Current,Active,43
1648,1284,Credit Card,2024-02-08,10304.12,0.2389,,A,3082.62,Current,Active,29
1649,1287,Personal Loan,2023-12-02,6861.52,0.1235,48.0,A,2355.73,Current,Active,31
1650,1287,Personal Loan,2024-05-30,17722.04,0.1046,48.0,A,7748.22,Current,Active,26
1651,1289,Auto Loan,2024-12-24,11492.15,0.067,72.0,B,7990.21,Current,Active,19
1652,1289,Credit Card,2025-06-27,1651.43,0.239,,B,626.7,Current,Active,13
1653,1289,Auto Loan,2023-02-24,31417.76,0.0689,72.0,C,13340.07,Current,Active,41
1654,1291,Credit Card,2022-11-11,17784.25,0.2067,,B,6569.71,Current,Active,44
1655,1292,Auto Loan,2023-08-28,43433.64,0.0926,36.0,A,2266.93,Current,Active,35
1656,1292,Auto Loan,2022-09-18,28632.93,0.0765,36.0,A,0.0,Current,Paid Off,46
1657,1292,Personal Loan,2023-08-06,18522.96,0.1316,36.0,D,970.66,Current,Active,35
1658,1294,Auto Loan,2024-04-18,21180.43,0.0657,36.0,B,4831.18,Current,Active,27
1659,1295,Personal Loan,2022-01-03,6542.31,0.1857,48.0,E,0.0,Current,Paid Off,54
1660,1296,Credit Card,2023-08-22,15078.89,0.2192,,E,10652.07,Current,Active,35
1661,1298,Credit Card,2024-07-31,5900.13,0.2385,,A,4937.51,Current,Active,24
1662,1298,Personal Loan,2022-11-28,17106.11,0.1113,24.0,B,0.0,Current,Paid Off,44
1663,1299,Mortgage,2023-06-03,484216.56,0.0521,240.0,D,418510.98,Current,Active,37
1664,1299,Auto Loan,2023-11-18,41955.33,0.0826,48.0,E,14102.56,Current,Active,32
1665,1300,Auto Loan,2022-02-27,13798.94,0.0624,72.0,D,3650.84,Current,Active,53
1666,1301,Auto Loan,2023-09-17,17078.87,0.0657,36.0,A,934.16,Current,Active,34
1667,1303,Auto Loan,2026-02-27,30581.92,0.0815,36.0,E,25930.53,Current,Active,5
1668,1304,Credit Card,2024-10-28,14532.92,0.1688,,C,3303.28,Current,Active,21
1669,1305,Auto Loan,2022-03-24,40908.53,0.1071,60.0,A,5363.81,Current,Active,52
1670,1305,Credit Card,2023-08-26,14819.09,0.1937,,D,9025.59,90+ DPD,Charged Off,35
1671,1306,Personal Loan,2022-06-03,10243.62,0.1771,24.0,A,0.0,Current,Paid Off,49
1672,1307,Auto Loan,2023-01-15,17392.04,0.0876,72.0,D,6710.14,30-59 DPD,Active,42
1673,1308,Personal Loan,2023-01-16,10160.26,0.1505,36.0,C,0.0,Current,Paid Off,42
1674,1310,Credit Card,2022-04-13,9952.1,0.2091,,C,4445.9,90+ DPD,Charged Off,51
1675,1311,Auto Loan,2024-11-04,33305.15,0.0934,72.0,E,29801.65,90+ DPD,Charged Off,20
1676,1311,Auto Loan,2022-12-29,15766.06,0.071,60.0,A,4620.92,Current,Active,43
1677,1312,Auto Loan,2025-07-24,35797.9,0.0931,48.0,A,25220.34,Current,Active,12
1678,1313,Credit Card,2022-01-04,13108.48,0.2094,,D,4512.56,Current,Active,54
1679,1314,Mortgage,2022-10-14,646581.47,0.0473,180.0,B,438189.64,60-89 DPD,Active,45
1680,1314,Personal Loan,2023-07-08,24723.36,0.1578,24.0,B,0.0,Current,Paid Off,36
1681,1315,Personal Loan,2025-07-07,8694.67,0.1702,48.0,A,6005.65,Current,Active,12
1682,1315,Auto Loan,2023-09-19,44707.74,0.053,36.0,A,2373.04,Current,Active,34
1683,1316,Auto Loan,2025-11-10,26586.68,0.0841,60.0,C,20911.6,Current,Active,8
1684,1316,Personal Loan,2025-09-06,15516.5,0.1454,48.0,B,12842.91,Current,Active,10
1685,1317,Personal Loan,2023-04-27,22587.59,0.1449,24.0,D,0.0,Current,Paid Off,39
1686,1319,Auto Loan,2022-03-17,9871.02,0.0567,60.0,C,1286.28,30-59 DPD,Active,52
1687,1319,Auto Loan,2024-10-02,17806.78,0.0804,48.0,C,9603.17,Current,Active,21
1688,1319,Credit Card,2023-06-13,4840.79,0.1763,,C,4013.8,Current,Active,37
1689,1320,Credit Card,2023-02-17,12777.88,0.1992,,D,8422.41,90+ DPD,Active,41
1690,1320,Credit Card,2026-02-25,2811.26,0.2082,,E,1094.6,Current,Active,5
1691,1321,Credit Card,2025-03-26,12657.16,0.1685,,D,7713.38,90+ DPD,Charged Off,16
1692,1325,Personal Loan,2024-03-29,16185.53,0.1887,48.0,C,6261.14,30-59 DPD,Active,28
1693,1326,Auto Loan,2023-12-25,41581.59,0.1007,72.0,E,29338.54,90+ DPD,Charged Off,31
1694,1328,Personal Loan,2024-06-19,12430.83,0.1061,24.0,C,0.0,Current,Paid Off,25
1695,1329,Personal Loan,2023-11-20,6045.44,0.1223,48.0,C,1854.31,Current,Active,32
1696,1330,Auto Loan,2022-05-27,10191.06,0.0978,72.0,D,2909.8,Current,Active,50
1697,1331,Auto Loan,2023-02-25,23022.28,0.0601,60.0,A,7317.27,Current,Active,41
1698,1331,Credit Card,2023-05-21,3432.34,0.186,,A,395.38,Current,Active,38
1699,1331,Personal Loan,2023-12-01,6307.98,0.1691,48.0,A,2106.8,Current,Active,31
1700,1332,Personal Loan,2023-06-29,17768.64,0.1187,48.0,C,3910.21,Current,Active,37
1701,1333,Credit Card,2025-05-08,11472.3,0.1838,,C,9612.03,Current,Active,14
1702,1333,Credit Card,2022-01-05,3270.48,0.222,,B,1647.18,Current,Active,54
1703,1334,Personal Loan,2025-11-27,7040.57,0.162,24.0,A,4870.63,30-59 DPD,Active,8
1704,1336,Personal Loan,2023-04-20,6813.59,0.1045,36.0,B,0.0,Current,Paid Off,39
1705,1336,Auto Loan,2024-03-22,18723.74,0.0538,72.0,C,11111.11,Current,Active,28
1706,1337,Auto Loan,2023-09-03,11069.68,0.0595,48.0,A,3065.26,Current,Active,34
1707,1338,Personal Loan,2025-02-15,13318.81,0.1342,48.0,B,7887.35,Current,Active,17
1708,1339,Credit Card,2022-01-03,10724.38,0.2149,,C,3307.34,Current,Active,54
1709,1340,Auto Loan,2024-03-28,44542.57,0.0903,60.0,B,22997.27,Current,Active,28
1710,1341,Auto Loan,2026-01-26,28944.95,0.0589,60.0,C,23637.35,Current,Active,6
1711,1341,Personal Loan,2022-08-21,9398.46,0.1529,36.0,B,0.0,Current,Paid Off,47
1712,1342,Auto Loan,2024-03-09,34813.56,0.0994,48.0,C,13381.0,Current,Active,28
1713,1344,Credit Card,2024-04-30,10447.86,0.1794,,A,8655.71,Current,Active,27
1714,1345,Mortgage,2022-12-22,489737.3,0.0739,240.0,C,413192.87,Current,Active,43
1715,1347,Auto Loan,2025-08-26,35585.41,0.0755,36.0,C,22335.58,60-89 DPD,Active,11
1716,1347,Personal Loan,2023-11-11,4534.96,0.091,24.0,C,0.0,Current,Paid Off,32
1717,1348,Credit Card,2025-11-16,3262.93,0.2061,,D,1759.87,Current,Active,8
1718,1349,Personal Loan,2025-07-29,6384.47,0.111,36.0,B,4350.96,Current,Active,12
1719,1350,Auto Loan,2025-11-20,29730.54,0.0706,72.0,B,25689.47,Current,Active,8
1720,1351,Personal Loan,2023-12-23,23644.17,0.092,24.0,C,0.0,Current,Paid Off,31
1721,1352,Auto Loan,2023-02-19,29048.39,0.0626,36.0,B,0.0,Current,Paid Off,41
1722,1353,Credit Card,2024-02-10,2329.82,0.2195,,D,399.87,Current,Active,29
1723,1354,Personal Loan,2022-07-03,23198.48,0.1554,48.0,B,0.0,Current,Paid Off,48
1724,1357,Auto Loan,2024-06-21,14619.79,0.0717,72.0,B,9615.08,Current,Active,25
1725,1357,Credit Card,2022-08-02,12202.33,0.1904,,C,8700.34,Current,Active,47
1726,1358,Auto Loan,2022-05-02,14386.25,0.0695,48.0,A,0.0,Current,Paid Off,50
1727,1358,Personal Loan,2023-12-12,14630.95,0.1023,36.0,C,9900.43,90+ DPD,Charged Off,31
1728,1359,Auto Loan,2023-03-06,8489.6,0.0929,72.0,B,3844.91,Current,Active,40
1729,1361,Auto Loan,2025-04-09,11071.77,0.0933,36.0,C,6538.0,Current,Active,15
1730,1361,Auto Loan,2022-10-24,8334.88,0.0948,72.0,B,2895.12,Current,Active,45
1731,1362,Auto Loan,2023-08-24,29367.35,0.0556,48.0,C,8243.39,Current,Active,35
1732,1362,Credit Card,2025-11-17,16432.73,0.1602,,D,13472.91,30-59 DPD,Active,8
1733,1363,Mortgage,2022-02-12,593717.62,0.0526,360.0,C,493196.95,Current,Active,53
1734,1364,Mortgage,2025-12-05,140930.05,0.0575,240.0,B,135423.39,Current,Active,7
1735,1365,Credit Card,2024-01-02,19000.13,0.2546,,A,3859.2,Current,Active,30
1736,1366,Auto Loan,2025-01-16,28583.41,0.0699,48.0,B,16269.26,Current,Active,18
1737,1367,Credit Card,2025-02-27,15322.83,0.2107,,D,2263.32,30-59 DPD,Active,17
1738,1367,Credit Card,2025-11-09,1526.36,0.2102,,B,1038.97,Current,Active,8
1739,1368,Credit Card,2022-06-13,10124.83,0.2586,,B,6802.7,Current,Active,49
1740,1370,Mortgage,2023-12-07,568323.95,0.0522,180.0,C,435281.88,30-59 DPD,Active,31
1741,1371,Personal Loan,2023-08-01,10426.2,0.1695,24.0,B,0.0,Current,Paid Off,35
1742,1371,Credit Card,2025-04-11,4999.68,0.2443,,C,4452.78,90+ DPD,Charged Off,15
1743,1372,Credit Card,2022-10-25,16390.26,0.1628,,B,9933.2,Current,Active,45
1744,1372,Personal Loan,2025-01-23,15924.06,0.1841,36.0,A,8143.86,Current,Active,18
1745,1373,Auto Loan,2026-01-25,17790.93,0.099,60.0,B,15736.83,Current,Active,6
1746,1373,Personal Loan,2025-11-12,17811.26,0.1125,24.0,A,11669.1,Current,Active,8
1747,1375,Auto Loan,2022-07-22,40353.75,0.0547,36.0,A,0.0,Current,Paid Off,48
1748,1376,Mortgage,2022-10-05,441299.36,0.0727,240.0,C,356064.14,Current,Active,45
1749,1377,Auto Loan,2024-06-30,25158.04,0.0974,72.0,C,14782.36,Current,Active,25
1750,1378,Auto Loan,2024-03-08,32611.82,0.1012,48.0,A,13979.03,Current,Active,28
1751,1379,Personal Loan,2025-06-12,4193.7,0.1362,48.0,A,2830.63,Current,Active,13
1752,1379,Personal Loan,2025-07-12,16064.92,0.1183,48.0,B,12409.52,Current,Active,12
1753,1379,Auto Loan,2026-05-23,29523.64,0.0561,48.0,C,29507.28,Current,Active,2
1754,1380,Credit Card,2024-02-25,16631.6,0.2591,,B,4862.07,Current,Active,29
1755,1381,Mortgage,2022-10-20,343260.18,0.0587,180.0,C,318946.56,90+ DPD,Charged Off,45
1756,1381,Mortgage,2023-09-12,212096.42,0.0729,240.0,E,187961.98,Current,Active,34
1757,1382,Personal Loan,2024-11-30,18635.21,0.0905,24.0,D,2981.79,Current,Active,20
1758,1384,Credit Card,2024-08-05,16161.63,0.1803,,D,4383.79,Current,Active,23
1759,1384,Personal Loan,2026-01-15,23933.44,0.1383,36.0,B,18806.69,Current,Active,6
1760,1385,Credit Card,2024-06-28,8270.21,0.1712,,C,1430.19,30-59 DPD,Active,25
1761,1387,Mortgage,2025-07-13,247305.69,0.0523,240.0,B,226339.02,Current,Active,12
1762,1388,Personal Loan,2024-08-04,12538.6,0.1408,24.0,A,568.08,60-89 DPD,Active,23
1763,1388,Personal Loan,2023-03-28,23902.86,0.1267,36.0,B,0.0,Current,Paid Off,40
1764,1388,Credit Card,2025-06-04,11726.7,0.1623,,A,1878.5,Current,Active,13
1765,1391,Credit Card,2024-08-27,7004.88,0.2036,,A,2607.23,Current,Active,23
1766,1391,Mortgage,2025-04-10,604579.7,0.046,360.0,B,529534.2,Current,Active,15
1767,1392,Credit Card,2026-01-12,14389.88,0.186,,A,4666.07,Current,Active,6
1768,1393,Mortgage,2023-02-08,157235.79,0.0741,180.0,A,119385.24,Current,Active,41
1769,1393,Personal Loan,2025-07-18,11173.64,0.1482,24.0,B,5031.77,Current,Active,12
1770,1393,Auto Loan,2022-09-16,41504.41,0.0583,36.0,A,0.0,Current,Paid Off,46
1771,1394,Auto Loan,2024-03-30,34356.25,0.0716,48.0,E,14304.02,60-89 DPD,Active,28
1772,1395,Credit Card,2024-01-24,9435.51,0.2287,,C,2078.53,Current,Active,30
1773,1396,Mortgage,2025-12-21,165267.7,0.0476,360.0,B,155719.39,Current,Active,7
1774,1397,Auto Loan,2024-05-08,27261.78,0.0947,72.0,B,16588.53,Current,Active,26
1775,1397,Mortgage,2023-03-12,568906.27,0.0621,180.0,D,427179.4,Current,Active,40
1776,1397,Credit Card,2025-12-04,11898.19,0.197,,C,9150.2,Current,Active,7
1777,1398,Personal Loan,2025-10-01,21323.19,0.1274,24.0,A,12507.7,Current,Active,9
1778,1399,Personal Loan,2022-12-08,12437.05,0.1108,24.0,B,0.0,Current,Paid Off,43
1779,1399,Mortgage,2024-02-04,544310.76,0.0498,360.0,D,512868.07,90+ DPD,Active,29
1780,1399,Mortgage,2023-10-29,533247.64,0.0655,180.0,B,431731.4,Current,Active,33
1781,1400,Auto Loan,2022-02-02,41287.75,0.0956,72.0,D,23447.84,90+ DPD,Charged Off,53
1782,1401,Mortgage,2023-11-28,347970.51,0.0687,180.0,C,269188.87,Current,Active,32
1783,1401,Personal Loan,2025-02-08,6863.88,0.1388,24.0,C,6146.53,90+ DPD,Charged Off,17
